ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3528809;0;0;0;93.69501;6.304986;0;89.69259;9.764918;0.5424955
2011;SP;;;3532157;0;0;0;96.07843;3.921569;0;99.29078;0.7092199;0
2011;SP;;;3535309;0;0;0;87.54099;8.087432;4.371585;79.38596;14.18129;6.432748
2011;SP;;;3535507;0;0;0;97.44095;1.968504;0.5905512;89.699;4.949833;5.351171
2011;SP;;;3537156;0;0;0;99.45652;0.5434783;0;98.24561;1.754386;0
2011;SP;;;3539707;0;0;0;95.3271;4.672897;0;91.40625;8.59375;0
2011;SP;;;3553955;0;0;0;70.67308;22.11539;7.211538;80.3056;11.03565;8.658744
2011;SP;;;3500550;0;0;0;92.95039;7.049608;0;84.36214;15.63786;0
2011;SP;;;3503109;0;0;0;97.91666;2.083333;0;92.66409;7.335907;0
2011;SP;;;3504503;0;0;0;92.22913;6.261101;1.509769;79.09605;12.5908;8.313156
2011;SP;;;3511409;0;0;0;90;5.581395;4.418605;79.90654;11.83801;8.255452
2011;SP;;;3519253;0;0;0;0;0;0;83.89831;2.966102;13.13559
2011;SP;;;3521804;0;0;0;95.7039;3.040317;1.255783;88.39178;8.948005;2.660218
2011;SP;;;3553807;100;0;0;95.24148;4.261364;0.4971591;83.49515;14.7018;1.803051
2011;SP;;;3500907;0;0;0;96.01594;0.7968128;3.187251;89.09091;1.818182;9.090909
2011;SP;;;3505500;0;0;0;87.15342;10.72089;2.125693;81.28545;13.86263;4.851922
2011;SP;;;3512001;0;0;0;0;0;0;82.89206;5.702648;11.4053
2011;SP;;;3512100;0;0;0;0;0;0;78.66242;14.64968;6.687898
2011;SP;;;3517406;0;0;0;87.52599;7.276507;5.197505;80.65934;6.666667;12.67399
2011;SP;;;3517901;0;0;0;0;0;0;94.3128;5.450237;0.2369668
2011;SP;;;3524204;0;0;0;0;0;0;92.0398;4.975124;2.985075
2011;SP;;;3533908;0;0;0;97.88696;1.637612;0.4754358;94.74836;3.282276;1.969365
2011;SP;;;3551900;0;0;0;0;0;0;82.91926;11.3354;5.745342
2011;SP;;;3500709;0;0;0;90.18958;7.203792;2.606635;79.95736;12.08245;7.960199
2011;SP;;;3503406;0;0;0;95.30917;1.918977;2.771855;95.71865;1.834862;2.446483
2011;SP;;;3504305;0;0;0;94.22492;3.039514;2.735562;87.81362;1.075269;11.11111
2011;SP;;;3504701;0;0;0;100;0;0;97.29729;2.702703;0
2011;SP;;;3506003;94.1024;5.249514;0.6480882;91.31094;5.664309;3.024754;80.57064;12.66452;6.764841
2011;SP;;;3508306;0;0;0;90.71207;6.19195;3.095975;76.87862;11.56069;11.56069
2011;SP;;;3514502;0;0;0;94.71075;3.140496;2.14876;89.49672;4.814004;5.689278
2011;SP;;;3519105;0;0;0;95.5707;4.429302;0;93.03944;6.960557;0
2011;SP;;;3526803;0;0;0;94.5;4;1.5;88.47682;7.593819;3.92936
2011;SP;;;3527504;0;0;0;96.85535;0.6289308;2.515723;89.16666;3.333333;7.5
2011;SP;;;3536570;0;0;0;96.03175;3.968254;0;93.50649;3.896104;2.597403
