cod_ibge;municipio;area_territorial_km2;pop_residente;den_demografica_hab/km;escolarizacao_6_a_14_anos_percent;idhm;receitas_realizadas_1000;pib_2020
3541109;Presidente Alves;286.642;3804;13.27;98.9;0.735;16403.63642;17819.12
3541208;Presidente Bernardes;749.233;14490;19.34;98.5;0.757;44621.55147;28001.53
3541307;Presidente Epitácio;1260.281;39505;31.35;98.8;0.75;100762.9025;21529.73
3541406;Presidente Prudente;560.637;225668;402.52;97.8;0.806;683206.23;36926.23
3541505;Presidente Venceslau;755.203;35201;46.61;98.6;0.763;126626.5868;19800.54
3541604;Promissão;779.2;35131;45.09;96.7;0.743;115005.8425;50155.74
3541653;Quadra;205.672;3405;16.56;98.3;0.678;20917.41061;32569.21
3541703;Quatá;651.341;13163;20.21;98.7;0.738;49974.77317;52388.45
3541802;Queiroz;234.914;3265;13.9;98.1;0.715;22185.9865;251248.25
3541901;Queluz;249.399;9159;36.72;98;0.722;38623.04826;25405.9
3542008;Quintana;318.937;7038;22.07;98.1;0.732;25965.38474;32808.1
3542107;Rafard;121.645;8965;73.7;98.3;0.745;40615.26321;42152.02
3542206;Rancharia;1587.498;28588;18.01;97.5;0.751;97943.57859;44488.36
3542305;Redenção da Serra;309.441;4494;14.52;95.2;0.657;17915.64921;16260.01
3542404;Regente Feijó;263.28;20145;76.52;98.8;0.768;62778.31766;41693.55
3542503;Reginópolis;410.406;7662;18.67;98.8;0.728;26825.04292;17986.08
3542602;Registro;722.201;59947;83.01;97.3;0.754;183948.6328;38784.03
3542701;Restinga;245.746;6404;26.06;98.6;0.705;27764.77117;25122.82
3542800;Ribeira;335.759;3132;9.33;97;0.698;17956.11432;16268.78
3542909;Ribeirão Bonito;471.553;10989;23.3;98.7;0.712;37513.44987;25989.86
3543006;Ribeirão Branco;697.5;18627;26.71;97.5;0.639;46317.57908;31592.42
3543105;Ribeirão Corrente;148.332;4608;31.07;100;0.711;21819.42408;36876.67
3543204;Ribeirão do Sul;203.208;4677;23.02;99;0.747;21555.29534;44291.74
3543238;Ribeirão dos Índios;196.446;2025;10.31;98.6;0.721;16031.01851;19023.38
3543253;Ribeirão Grande;333.363;7450;22.35;96.8;0.705;30160.19922;28500.12
3543303;Ribeirão Pires;98.972;115559;1167.59;97.4;0.784;295223.1761;26911.94
3543402;Ribeirão Preto;650.916;698642;1073.32;96.9;0.8;2888565.292;49476.86
3543501;Riversul;385.878;5599;14.51;95.9;0.664;18672.1;15647.08
3543600;Rifaina;162.508;4049;24.92;99.2;0.74;33617.0077;47707.81
3543709;Rincão;316.639;9098;28.73;98.2;0.734;31872.72117;19419.63
3543808;Rinópolis;358.481;9259;25.83;98.6;0.723;29172.65856;30432.07
