ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3504503;0;0;0;9222913;6261101;1509769;7909605;125908;8313156
2011;SP;;;3511409;0;0;0;900;5581395;4418605;7990654;1183801;8255452
2011;SP;;;3519253;0;0;0;0;0;0;8389831;2966102;1313559
2011;SP;;;3521804;0;0;0;957039;3040317;1255783;8839178;8948005;2660218
2011;SP;;;3553807;1000;0;0;9524148;4261364;4971591;8349515;147018;1803051
2011;SP;;;3500907;0;0;0;9601594;7968128;3187251;8909091;1818182;9090909
2011;SP;;;3505500;0;0;0;8715342;1072089;2125693;8128545;1386263;4851922
2011;SP;;;3512001;0;0;0;0;0;0;8289206;5702648;114053
2011;SP;;;3512100;0;0;0;0;0;0;7866242;1464968;6687898
2011;SP;;;3517406;0;0;0;8752599;7276507;5197505;8065934;6666667;1267399
2011;SP;;;3517901;0;0;0;0;0;0;943128;5450237;2369668
2011;SP;;;3524204;0;0;0;0;0;0;920398;4975124;2985075
2011;SP;;;3533908;0;0;0;9788696;1637612;4754358;9474836;3282276;1969365
2011;SP;;;3551900;0;0;0;0;0;0;8291926;113354;5745342
2011;SP;;;3500709;0;0;0;9018958;7203792;2606635;7995736;1208245;7960199
2011;SP;;;3503406;0;0;0;9530917;1918977;2771855;9571865;1834862;2446483
2011;SP;;;3504305;0;0;0;9422492;3039514;2735562;8781362;1075269;1111111
2011;SP;;;3504701;0;0;0;1000;0;0;9729729;2702703;0
2011;SP;;;3506003;941024;5249514;6480882;9131094;5664309;3024754;8057064;1266452;6764841
2011;SP;;;3508306;0;0;0;9071207;619195;3095975;7687862;1156069;1156069
2011;SP;;;3514502;0;0;0;9471075;3140496;214876;8949672;4814004;5689278
2011;SP;;;3519105;0;0;0;955707;4429302;0;9303944;6960557;0
2011;SP;;;3526803;0;0;0;945;40;15;8847682;7593819;392936
2011;SP;;;3527504;0;0;0;9685535;6289308;2515723;8916666;3333333;75
2011;SP;;;3536570;0;0;0;9603175;3968254;0;9350649;3896104;2597403
2011;SP;;;3538907;9797571;1619433;4048583;9590697;1209302;2883721;9065868;3473054;5868263
2011;SP;;;3539400;0;0;0;9831547;7656968;9188361;9541985;4580153;0
2011;SP;;;3541109;8615385;1384615;0;9665427;7434945;2602231;8343195;1005917;6508876
2011;SP;;;3542503;0;0;0;9872205;6389776;6389776;9766082;5847953;1754386
