ano;sigla_uf;rede;diretoria;id_municipio;id_escola;id_escola_sp;codigo_tipo_escola;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;estadual;NORTE 1;3550308;35000346;346;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000644;644;;963235321;2941176414;735294104;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037692;37692;;0;0;0;0;0;0;6811594391;283816433;3502415419
2011;SP;estadual;NORTE 1;3550308;35036456;36456;;0;0;0;0;0;0;7676281738;2307692337;160256416
2011;SP;estadual;NORTE 1;3550308;35046255;46255;;9766949463;1906779647;423728824;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000152;152;;9401709747;2991452932;2991452932;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000061;61;;9836065674;983606577;655737698;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000073;73;;9971671295;0;283286124;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35130333;130333;;0;0;0;0;0;0;7142857361;1428571415;1428571415
2011;SP;estadual;NORTE 1;3550308;35904247;904247;;0;0;0;0;0;0;7954545593;1545454502;5
2011;SP;estadual;NORTE 1;3550308;35000139;139;;0;0;0;0;0;0;6841004181;300209198;1569037676
2011;SP;estadual;NORTE 1;3550308;35000140;140;;0;0;0;0;0;0;6666666412;2880952454;4523809433
2011;SP;estadual;NORTE 1;3550308;35000361;361;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037722;37722;;9977973938;220264316;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35924748;924748;;0;0;0;0;0;0;7989949799;1256281376;7537688255
2011;SP;estadual;NORTE 1;3550308;35924763;924763;;0;0;0;0;0;0;6745689392;21875;1066810322
2011;SP;estadual;NORTE 1;3550308;35926103;926103;;9709091187;0;2909090996;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35414612;414612;;9680850983;106382978;2127659559;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35037655;37655;;0;0;0;0;0;0;7196495819;1989987564;8135169029
2011;SP;estadual;NORTE 1;3550308;35037679;37679;;0;0;0;0;0;0;8092715454;2384105921;1668874168
2011;SP;estadual;NORTE 1;3550308;35037709;37709;;0;0;0;0;0;0;7985865784;1448763275;5653710365
2011;SP;estadual;NORTE 1;3550308;35046243;46243;;9700374603;749063671;2247190952;0;0;0;6734233856;1621621704;1644144058
2011;SP;estadual;NORTE 1;3550308;35037643;37643;;0;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000395;395;;0;0;0;0;0;0;6370530701;2296858025;1332611084
2011;SP;estadual;NORTE 1;3550308;35130321;130321;;9827586365;1724137902;0;0;0;0;7230444336;2727272797;422832966
2011;SP;estadual;NORTE 1;3550308;35000255;255;;0;0;0;0;0;0;620338974;2406779671;1389830494
2011;SP;estadual;NORTE 1;3550308;35039342;39342;;9661016846;1694915295;1694915295;0;0;0;8013245392;198675499;0
2011;SP;estadual;NORTE 1;3550308;35290543;290543;;9478827667;3583061934;1628664494;0;0;0;8159340668;1318681335;5219780445
2011;SP;estadual;NORTE 1;3550308;35037680;37680;;9801444244;1263537884;722021639;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35269359;269359;;0;0;0;0;0;0;7104762268;285714283;380952388
2011;SP;estadual;NORTE 1;3550308;35000024;24;;0;0;0;0;0;0;7198275757;160021553;1201508617
2011;SP;estadual;NORTE 1;3550308;35000097;97;;0;0;0;0;0;0;9770270538;2297297239;0
2011;SP;estadual;NORTE 1;3550308;35000085;85;;9508197021;3934426308;983606577;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000553;553;;0;0;0;0;0;0;8046102905;1866081238;878155887
2011;SP;estadual;NORTE 1;3550308;35037710;37710;;0;0;0;0;0;0;801418457;1134751797;8510638237
2011;SP;estadual;NORTE 1;3550308;35924398;924398;;9770992279;381679386;1908396959;0;0;0;778181839;1927272797;2909090996
2011;SP;estadual;NORTE 1;3550308;35000450;450;;0;0;0;0;0;0;6570363617;3336439896;931966424
2011;SP;estadual;NORTE 1;3550308;35000565;565;;978666687;1066666722;1066666722;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000206;206;;9829059601;0;1709401727;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000188;188;;0;0;0;0;0;0;8436363983;1145454502;4181818008
2011;SP;estadual;NORTE 1;3550308;35037667;37667;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000048;48;;0;0;0;0;0;0;6826215363;2312223816;8615611076
2011;SP;estadual;NORTE 1;3550308;35000620;620;;0;0;0;0;0;0;7868480682;1791383171;3401360512
2011;SP;estadual;NORTE 1;3550308;35901684;901684;;0;0;0;0;0;0;7806004333;1004618931;118937645
2011;SP;estadual;NORTE 1;3550308;35901672;901672;;9765625;234375;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35040460;40460;;9880477905;0;1195219159;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000115;115;;9619450378;1057082415;2748414278;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000127;127;;100;0;0;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35000164;164;;0;0;0;0;0;0;7521614075;7492795467;1729106712
2011;SP;estadual;NORTE 1;3550308;35924386;924386;;9970237732;0;297619045;0;0;0;0;0;0
2011;SP;estadual;NORTE 1;3550308;35925500;925500;;9823943329;1408450723;352112681;0;0;0;5671077347;4310018921;189035922
2011;SP;estadual;CENTRO;3550308;35003426;3426;;0;0;0;0;0;0;8426966095;1516853905;561797738
2011;SP;estadual;CENTRO;3550308;35003487;3487;;9966666412;333333343;0;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000978;978;;0;0;0;0;0;0;7849162292;2067039108;837988853
2011;SP;estadual;CENTRO;3550308;35003852;3852;;0;0;0;0;0;0;7521951294;2165853691;3121951103
2011;SP;estadual;CENTRO;3550308;35918994;918994;;9493670654;0;5063291073;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000590;590;;9841897583;118577075;395256907;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35003414;3414;;9717742157;403225809;2419354916;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000437;437;;9805194855;1623376608;324675322;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35003566;3566;;0;0;0;0;0;0;6972789001;2482993126;5442176819
2011;SP;estadual;CENTRO;3550308;35000577;577;;0;0;0;0;0;0;6823529053;1764705849;1411764717
2011;SP;estadual;CENTRO;3550308;35003505;3505;;9710843658;722891569;2168674707;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35003621;3621;;9268817139;5806451797;1505376339;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35038124;38124;;9744680786;1702127695;851063848;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000462;462;;0;0;0;0;0;0;6738578796;1763959312;1497461891
